Title,type,genre,date completed,
The Dig,movie,period drama,02/06/21,
The Breadwinner,movie,war/drama,02/11/21,
Okko's Inn,movie,"heartfelt, family",02/13/21,
Spycraft,tv,documentary,02/16/21,1 season
Ozark,tv,thriller,02/19/21,s3
Atomic Blonde,movie,action,02/22/21,
Prometheus,movie,scifi/thriller,02/23/21,
Giri Haji,tv,detective (japanese),02/27/21,1 season
Hobbit pt 1,movie,fantasy,02/28/21,
MI: 6 Fallout,movie,action,03/04/21,
WandaVision,tv,,03/05/21,1 season
Hobbit pt 2,movie,fantasy,03/06/21,
Hobbit pt 3,movie,fantasy,03/06/21,
LOTR 1,movie,fantasy,03/07/21,
LOTR 2,movie,fantasy,03/07/21,
LOTR 3,movie,fantasy,03/07/21,didnt finish
mercury 13,movie,,03/12/21,
Maleficent,movie,fantasy,03/20/21,
Maleficent 2 ,movie,fantasy,03/21/21,
Miss Peregrines ,movie,fantasy,03/21/21,
The Great,tv,comedy,03/27/21,season 1
The Irregulars,tv,"dark, drama, investigateq",04/06/21,1 season
Lupin,tv,sleuth,04/06/21,s1 rewatch
Snowpiercer,movie,scifi,04/11/21,rewatch
Demon Slayer,tv,anime,04/11/21,1 season
Agent Carter,tv,scifi/drama,04/15/21,2 seasons
This is a Robbery,movie,doc,04/18/21,
Falcon/Winter Soldier,tv,,04/23/21,1 season
Carnival Row,tv,fantasy,04/25/21,1 season
F1: Drive to Survive,tv,doc,04/28/21,3 seasons
Stranger than fiction,movie,romcom,05/02/21,rewatch
Made You Look,movie,documentary,05/04/21,
Thunder Force,movie,,05/05/21,
demon slayer movie,movie,anime,05/07/21,
Jupiters Legacy,tv,sci fi fantasy,05/08/21,1 season
Little miss sumo,movie,documentary,05/15/21,
ladies first,movie,documentary,05/15/21,
Nadiya bakes,tv,food doc,05/15/21,1 season
Ramen Heads,movie,documentary,05/16/21,
castlevania,tv,horror,05/18/21,4th season
ottolenghi and the cakes of versailles,movie,doc,05/21/21,
The Mitchells vs the Machines,movie,"comedy, animated",05/23/21,
Eurovision,movie,comedy,05/30/21,
killing eve,tv,"drama, thriller",06/04/21,3 seasons
fifth element,movie,scifi,06/11/21,rewatch x1000
eaters guide to the world,tv,doc,06/11/21,1 season
Lupin,tv,,06/12/21,season 2 only
Coded Bias,movie,doc,06/17/21,
Inside,movie,,06/19/21,
Cowboy Bebop,tv,anime,06/19/21,rewatch
Lucifer,tv,"drama, detecitve, comedy?",06/24/21,s5 pt2
Space Sweepers,movie,sci fi fantasy,07/04/21,
Invincible,tv,sueprhero,07/23/22,s1
Golden,tv,doc,726,1 season
Ghost in the Shell (1995),movie,"scifi, anime",07/31/22,
Suicide squad,movie,superhero ,08/06/22,
man in the high castle,tv,"fantasy, drama",08/08/22,4th season
making the cut,tv,,08/12/22,2 seasons
blade runner 2049,movie,scifi ,08/13/22,
Devs,tv,thriller,08/17/22,1 season
secret life of walter mitty,movie,"comedy, drama",08/20/22,
Black Widow,movie,action,08/22/22,
Motherland: Fort Salem,tv,,08/26/22,2 seasons
The Witcher: Nightmare of the Wolf,movie ,fantasy,08/29/22,
Loki,tv,,09/02/22,1 season
super fast,movie,,09/04/22,rewatch
Beowulf,movie,fantasy,09/11/22,rewatch
Capt America,movie,,09/10/22,rewatch
Capt America: Winter Soldier,movie,,09/12/22,rewatch
Thor,movie,,09/17/22,rewatch
The Avengers,movie,,09/17/22,rewatch
Dr Strange,movie,,09/19/22,rewatch
Guardians of the Galaxy,movie,,09/19/22,rewatch
Cap America: Civil War,movie,,09/25/22,rewatch
What We Do In the Shadows,movie,,09/25/22,rewatch
star wars visions,tv,,09/25/22,1 season
Haunting of Hill House,tv,spooky,10/02/22,1 season
Lucifer,tv,,10/03/22,6th season
Cruella,movie,,10/06/22,
What If? ,tv,,10/07/22,1 season
The Defeated,tv,,10/09/22,1 season
Radium Girls,movie,history,10/10/22,
Thor: Ragnarok,movie,,10/13/22,rewatch
Dune,movie,,10/22/22,
halloweentown,movie,,10/23/22,
haunting of bly manor,tv,,10/24/22,
midnight mass,tv,,10/28/22,
Hocus Pocus,movie,,10/31/22,
What We Do In the Shadows,tv,,10/31/22,3rd season
Holes,movie,,11/06/22,
Call the Midwife,tv,,11/07/22,9 seasons total
layer cake,movie,,11/11/22,
Shang chi,movie,,11/12/22,
the eternals,movie,,11/13/22,
yellowstone,tv,,11/11/22,3 seasons
Cowboy Bebop,tv,,11/20/22,1 season
Great British Bake off,tv,,11/26/22,9th season
Reservation Dogs,tv,,12/04/22,1 season
Arcane: League of Legends,tv,,12/08/22,1 season
The Harder They Fall,movie,,12/10/22,
the matrix,movie,,12/11/22,
witcher,tv,,12/18/22,s2
hawkeye,tv,,12/22/22,1 season
A Merry Friggin' Christmas,movie,,12/22/22,
Belfast,movie,,12/23/22,
Power of the Dog,movie,,12/27/22,
Encanto,movie,,12/28/22,
Letterkenny,tv,,12/29/22,season 10
Luca,movie,,12/29/22,
Coco,movie,,12/30/22,
